#,名称,評価,シナリオ,キャラクター,演出,音楽,作画,年度,視聴回数,ジャンル,視聴話数,全話数,ステータス,備考
133,+チック姉さん,0,,,,,,2011,,,1~12,12,,
134,緋弾のアリア,0,,,,,,2011,,,1~12,12,,
135,真剣で私に恋しなさい!!,0,,,,,,2011,,,1~12,12,,
136,夢喰いメリー,0,,,,,,2011,,,1~13,13,,
137,星空へ架かる橋,0,,,,,,2011,,,1~12,12,,
138,ドラゴンクライシス！,0,,,,,,2011,,,1~12,12,,
139,C3 -シーキューブ-,0,,,,,,2011,,,1~12,12,,
140,Fate/Zero 第2期,0,,,,,,2012,,,1~25,25,,
141,TARI TARI,0,,,,,,2012,,,1~13,13,,
142,PSYCHO-PASS サイコパス,0,,,,,,2012,,,1~22,22,,
143,Another,0,,,,,,2012,,,1~12,12,,
144,氷菓,0,,,,,,2012,,,1~22,22,,
145,男子高校生の日常,0,,,,,,2012,,,1~12,12,,
146,人類は衰退しました,0,,,,,,2012,,,1~12,12,,
147,偽物語,0,,,,,,2012,,,1~11,11,,
148,中二病でも恋がしたい！,0,,,,,,2012,,,1~12,12,,
149,ソードアート・オンライン,0,,,,,,2012,,,1~25,25,,
150,じょしらく,0,,,,,,2012,,,1~13,13,,
151,ココロコネクト,0,,,,,,2012,,,1~13,13,,
152,妖狐×僕SS,0,,,,,,2012,,,1~12,12,,
153,咲-Saki-阿知賀編 episode of side-A,0,,,,,,2012,,,1~12,12,,
154,貧乏神が！,0,,,,,,2012,,,1~13,13,,
155,ゆるゆり♪♪ (第2期),0,,,,,,2012,,,1~12,12,,
156,アクセル・ワールド,0,,,,,,2012,,,1~24,24,,
157,さくら荘のペットな彼女,0,,,,,,2012,,,1~24,24,,
158,ハイスクールD×D (第1期),0,,,,,,2012,,,1~12,12,,
159,これはゾンビですか？ オブ・ザ・デッド,0,,,,,,2012,,,1~10,10,,
160,リトルバスターズ！,0,,,,,,2012,,,1~26,26,,
161,織田信奈の野望,0,,,,,,2012,,,1~12,12,,
162,リコーダーとランドセル ド♪,0,,,,,,2012,,,1~13,13,,
163,這いよれ！ニャル子さん,0,,,,,,2012,,,1~12,12,,
164,BTOOOM！,0,,,,,,2012,,,1~12,12,,
165,お兄ちゃんだけど愛さえあれば関係ないよねっ,0,,,,,,2012,,,1~12,12,,
166,To LOVEる -とらぶる- ダークネス,0,,,,,,2012,,,1~12,12,,
167,パパのいうことを聞きなさい!,0,,,,,,2012,,,1~12,12,,
168,恋と選挙とチョコレート,0,,,,,,2012,,,1~12,12,,
169,カンピオーネ！～まつろわぬ神々と神殺しの魔王～,0,,,,,,2012,,,1~13,13,,
170,生徒会の一存 Lv.2,0,,,,,,2012,,,1~9,9,,
171,僕の妹は「大阪おかん」,0,,,,,,2012,,,1~12,12,,
172,はぐれ勇者の鬼畜美学,0,,,,,,2012,,,1~12,12,,
173,だから僕は、Ｈができない。,0,,,,,,2012,,,1~12,12,,
174,はたらく魔王さま！,0,,,,,,2013,,,1~13,13,,
175,やはり俺の青春ラブコメはまちがっている。,0,,,,,,2013,,,1~13,13,,
176,のんのんびより,0,,,,,,2013,,,1~12,12,,
177,とある科学の超電磁砲S,0,,,,,,2013,,,1~24,24,,
178,キルラキル,0,,,,,,2013,,,1~24,24,,
179,WHITE ALBUM2,0,,,,,,2013,,,1~12,12,,
180,劇場版 STEINSGATE 負荷領域のデジャヴ,0,,,,,,2013,,,1,1,,
181,ガンダムビルドファイターズ,0,,,,,,2013,,,1~25,25,,
182,未来日記リダイヤル,0,,,,,,2013,,,1,1,,
183,僕は友達が少ないNEXT,0,,,,,,2013,,,1~12,12,,
184,恋愛ラボ,0,,,,,,2013,,,1~13,13,,
185,リトルバスターズ！～Refrain～,0,,,,,,2013,,,1~13,13,,
186,きんいろモザイク,0,,,,,,2013,,,1~12,12,,
187,コードギアス 亡国のアキト 第2章 引き裂かれし翼竜,0,,,,,,2013,,,1,1,,
188,琴浦さん,0,,,,,,2013,,,1~12,12,,
189,私がモテないのはどう考えてもお前らが悪い！,0,,,,,,2013,,,1~12,12,,
190,蒼き鋼のアルペジオ -アルス・ノヴァ-,0,,,,,,2013,,,1~12,12,,
191,ゆゆ式,0,,,,,,2013,,,1~12,12,,
192,東京レイヴンズ,0,,,,,,2013,,,1~24,24,,
193,てーきゅう 第3期,0,,,,,,2013,,,1~12,12,,
194,ロウきゅーぶ！SS,0,,,,,,2013,,,1~12,12,,
195,サーバント×サービス,0,,,,,,2013,,,1~13,13,,
196,アウトブレイク・カンパニー,0,,,,,,2013,,,1~12,12,,
197,俺の彼女と幼なじみが修羅場すぎる,0,,,,,,2013,,,1~13,13,,
198,変態王子と笑わない猫。,0,,,,,,2013,,,1~12,12,,
199,境界の彼方,0,,,,,,2013,,,1~12,12,,
200,這いよれ！ニャル子さんW,0,,,,,,2013,,,1~12,12,,
201,Free!,0,,,,,,2013,,,1~12,12,,
202,GJ部,0,,,,,,2013,,,1~12,12,,
203,gdgd妖精s 第2期,0,,,,,,2013,,,1~12,12,,
204,あいうら,0,,,,,,2013,,,1~12,12,,
205,あいまいみー,0,,,,,,2013,,,1~13,13,,
206,ゴールデンタイム,0,,,,,,2013,,,1~24,24,,
207,ストライク・ザ・ブラッド,0,,,,,,2013,,,1~24,24,,
208,問題児たちが異世界から来るそうですよ?,0,,,,,,2013,,,1~10,10,,
209,ダンガンロンパ 希望の学園と絶望の高校生 The Animation,0,,,,,,2013,,,1~13,13,,
210,てさぐれ！部活もの,0,,,,,,2013,,,1~12,12,,
211,俺の脳内選択肢が、学園ラブコメを全力で邪魔している,0,,,,,,2013,,,1~10,10,,
212,帰宅部活動記録,0,,,,,,2013,,,1~12,12,,
213,ブラッドラッド,0,,,,,,2013,,,1~10,10,,
214,戦勇。,0,,,,,,2013,,,1~13,13,,
215,ミス・モノクローム,0,,,,,,2013,,,1~13,13,,
216,ワルキューレロマンツェ,0,,,,,,2013,,,1~12,12,,
217,ひぐらしのなく頃に拡 ～アウトブレイク～,0,,,,,,2013,,,1,1,,
218,IS〈インフィニット・ストラトス〉2,0,,,,,,2013,,,1~12,12,,
219,血液型くん！,0,,,,,,2013,,,1~12,12,,
220,断裁分離のクライムエッジ,0,,,,,,2013,,,1~13,13,,
221,犬とハサミは使いよう,0,,,,,,2013,,,1~12,12,,
222,超次元ゲイム ネプテューヌ,0,,,,,,2013,,,1~12,12,,
223,D.C.III ～ダ・カーポIII～,0,,,,,,2013,,,1~13,13,,
224,BLAZBLUE ALTER MEMORY,0,,,,,,2013,,,1~12,12,,
225,SHIROBAKO,0,,,,,,2014,,,1~24,24,,
226,月刊少女野崎くん,0,,,,,,2014,,,1~12,12,,
227,Fate/stay night [Unlimited Blade Works] 1stシーズン,0,,,,,,2014,,,1~13,13,,
228,ソードアート・オンラインⅡ,0,,,,,,2014,,,1~24,24,,
229,ノーゲーム・ノーライフ,0,,,,,,2014,,,1~12,12,,
230,Hi☆sCoool！セハガール,0,,,,,,2014,,,1~12,12,,
231,ニセコイ,0,,,,,,2014,,,1~20,20,,
232,未確認で進行形,0,,,,,,2014,,,1~12,12,,
233,咲-Saki-全国編,0,,,,,,2014,,,1~13,13,,
234,ウィッチクラフトワークス,0,,,,,,2014,,,1~12,12,,
235,のうりん,0,,,,,,2014,,,1~12,12,,
236,てさぐれ！部活もの あんこーる,0,,,,,,2014,,,1~12,12,,
237,グリザイアの果実,0,,,,,,2014,,,1~13,13,,
238,ディーふらぐ！,0,,,,,,2014,,,1~12,12,,
239,甘城ブリリアントパーク,0,,,,,,2014,,,1~13,13,,
240,極黒のブリュンヒルデ,0,,,,,,2014,,,1~13,13,,
241,ご注文はうさぎですか？,0,,,,,,2014,,,1~12,12,,
242,中二病でも恋がしたい！戀,0,,,,,,2014,,,1~12,12,,
243,さばげぶっ！,0,,,,,,2014,,,1~12,12,,
244,マンガ家さんとアシスタントさんと,0,,,,,,2014,,,1~12,12,,
245,デンキ街の本屋さん,0,,,,,,2014,,,1~12,12,,
246,魔法科高校の劣等生,0,,,,,,2014,,,1~26,26,,
247,ブラック・ブレット,0,,,,,,2014,,,1~13,13,,
248,世界征服～謀略のズヴィズダー～,0,,,,,,2014,,,1~12,12,,
249,人生相談テレビアニメーション「人生」,0,,,,,,2014,,,1~13,13,,
250,異能バトルは日常系のなかで,0,,,,,,2014,,,1~12,12,,
251,俺、ツインテールになります。,0,,,,,,2014,,,1~12,12,,
252,旦那が何を言っているかわからない件,0,,,,,,2014,,,1~13,13,,
253,六畳間の侵略者!?,0,,,,,,2014,,,1~12,12,,
254,最近、妹のようすがちょっとおかしいんだが。,0,,,,,,2014,,,1~12,12,,
255,龍ヶ嬢七々々の埋蔵金,0,,,,,,2014,,,1~11,11,,
256,トリニティセブン,0,,,,,,2014,,,1~12,12,,
257,彼女がフラグをおられたら,0,,,,,,2014,,,1~13,13,,
258,Fate/stay night [Unlimited Blade Works] 2ndシーズン,0,,,,,,2015,,,1~25,25,,
259,監獄学園,0,,,,,,2015,,,1~13,13,,
260,やはり俺の青春ラブコメはまちがっている。続,0,,,,,,2015,,,1~13,13,,
261,WORKING!!! (第3期),0,,,,,,2015,,,1~13,13,,
262,干物妹！うまるちゃん,0,,,,,,2015,,,1~12,12,,
263,ハロー!!きんいろモザイク,0,,,,,,2015,,,1~12,12,,
264,ニセコイ: (第2期),0,,,,,,2015,,,1~12,12,,
265,ゆるゆり さん☆ハイ!,0,,,,,,2015,,,1~12,12,,
266,ご注文はうさぎですか？？ ２期,0,,,,,,2015,,,1~12,12,,
267,下ネタという概念が存在しない退屈な世界,0,,,,,,2015,,,1~12,12,,
268,アニメで分かる心療内科,0,,,,,,2015,,,1~20,20,,
269,食戟のソーマ,0,,,,,,2015,,,1~24,24,,
270,シャーロット,0,,,,,,2015,,,1~13,13,,
271,がっこうぐらし！,0,,,,,,2015,,,1~12,12,,
272,ダンジョンに出会いを求めるのは間違っているだろうか,0,,,,,,2015,,,1~13,13,,
273,六花の勇者,0,,,,,,2015,,,1~12,12,,
274,城下町のダンデライオン,0,,,,,,2015,,,1~12,12,,
275,落第騎士の英雄譚,0,,,,,,2015,,,1~12,12,,
276,それが声優！,0,,,,,,2015,,,1~13,13,,
277,冴えない彼女の育てかた,0,,,,,,2015,,,1~12,12,,
278,幸腹グラフィティ,0,,,,,,2015,,,1~12,12,,
279,ハッカドール THE あにめ～しょん,0,,,,,,2015,,,1~13,13,,
280,山田くんと7人の魔女,0,,,,,,2015,,,1~12,12,,
281,ニンジャスレイヤー フロムアニメイシヨン,0,,,,,,2015,,,1~26,26,,
282,赤髪の白雪姫,0,,,,,,2015,,,1~12,12,,
283,俺がお嬢様学校に「庶民サンプル」としてゲッツられた件,0,,,,,,2015,,,1~12,12,,
284,学戦都市アスタリスク,0,,,,,,2015,,,1~12,12,,
285,わかば*ガール,0,,,,,,2015,,,1~13,13,,
286,モンスター娘のいる日常,0,,,,,,2015,,,1~12,12,,
287,あにトレ！EX,0,,,,,,2015,,,1~12,12,,
288,艦隊これくしょん～艦これ～,0,,,,,,2015,,,1~12,12,,
289,緋弾のアリアAA,0,,,,,,2015,,,1~12,12,,
290,温泉幼精ハコネちゃん,0,,,,,,2015,,,1~12,12,,
291,アブソリュート・デュオ,0,,,,,,2015,,,1~12,12,,
292,無彩限のファントム・ワールド,0,,,,,,2016,,,,,,
293,僕だけがいない街,0,,,,,,2016,,,,,,
294,少女たちは荒野を目指す,0,,,,,,2016,,,,,,
295,だがしかし,0,,,,,,2016,,,,,,
